entry_day_of_week,n_candidates,n_tradeable,base_rate_pct,median_hold_h,median_net_pnl,day_name
0,3751,2231,59.5,4.67,97.02,Mon
1,3433,1974,57.5,3.83,88.46,Tue
2,3241,1876,57.9,3.58,85.78,Wed
3,3423,1936,56.6,3.58,85.51,Thu
4,4065,2355,57.9,5.58,91.25,Fri
5,3691,2145,58.1,11.33,87.83,Sat
6,4268,2830,66.3,7.17,101.28,Sun
