spread_q,n_candidates,n_tradeable,spread_min,spread_max,spread_median,base_rate_pct
"Q1
(tightest)",6600,4504,1.116073727607727,8.10810661315918,6.250006675720215,68.2
Q2,6709,4351,8.108113288879395,11.428571701049805,9.615386009216309,64.9
Q3,6517,3767,11.450384140014648,15.789471626281738,13.513509750366211,57.8
"Q4
(widest)",6528,2725,15.78947639465332,283.4862365722656,19.04762077331543,41.7
