b4h,"neutral
±0.5%","sl.down
-1.5–-0.5%","sl.up
+0.5–+1.5%","str.down
<-1.5%","str.up
>+1.5%"
"neutral
±0.5%",67.4,65.6,74.3,100.0,0.0
"sl.down
-1.5–-0.5%",64.4,63.1,66.7,,
"sl.up
+0.5–+1.5%",73.2,42.1,60.8,,71.0
"str.down
<-1.5%",64.8,87.9,10.5,45.5,100.0
"str.up
>+1.5%",79.2,100.0,86.4,,73.1
