entry_hour_utc,n_candidates,n_tradeable,base_rate_pct,median_hold_h,median_net_pnl,median_gross_pct
0,4046,2360,58.3,7.17,98.65,26.62
4,3960,2370,59.8,7.0,88.15,26.09
8,3936,2284,58.0,6.42,90.72,26.8
12,4795,3052,63.6,3.17,88.41,26.7
16,4696,2704,57.6,3.92,89.87,26.96
20,4439,2577,58.1,5.67,91.18,27.28
