bucket,n_candidates,n_tradeable,base_rate_pct,side
-3–-1.5%,41,23,56.1,calls
-1.5–-0.5%,447,309,69.1,calls
±0.5%,3421,2332,68.2,calls
+0.5–+1.5%,538,380,70.6,calls
+1.5–+3%,62,44,71.0,calls
>+3%,5,5,100.0,calls
-3–-1.5%,67,55,82.1,puts
-1.5–-0.5%,619,501,80.9,puts
±0.5%,4664,3074,65.9,puts
+0.5–+1.5%,710,394,55.5,puts
+1.5–+3%,88,47,53.4,puts
>+3%,10,8,80.0,puts
