b4h,"neutral
±0.5%","sl.down
-1.5–-0.5%","sl.up
+0.5–+1.5%","str.down
<-1.5%","str.up
>+1.5%"
"neutral
±0.5%",63.8,93.5,69.7,0.0,87.5
"sl.down
-1.5–-0.5%",68.2,83.8,64.2,,
"sl.up
+0.5–+1.5%",73.1,59.7,50.8,,45.7
"str.down
<-1.5%",60.3,85.9,86.4,100.0,92.3
"str.up
>+1.5%",56.5,28.1,44.0,,47.6
