filter,n_options,n_signal_hours,opts_per_signal,win_rate,avg_multiple,fires_per_day,fires_per_week
<$50,747,577,1.3,0.0,,4.37,30.6
$50–100,5882,2580,2.3,0.166,2.706,19.55,136.8
$100–150,10786,3054,3.5,0.236,2.368,23.14,162.0
$150–250,21888,3131,7.0,0.246,2.121,23.72,166.0
$250–500,35302,3131,11.3,0.248,1.958,23.72,166.0
>$500,39442,3131,12.6,0.223,1.739,23.72,166.0
