filter,n_options,n_signal_hours,opts_per_signal,win_rate,avg_multiple,fires_per_day,fires_per_week
≤5%,7276,2305,3.2,0.233,1.741,17.46,122.2
≤10%,50775,3118,16.3,0.239,1.847,23.62,165.3
≤15%,87349,3131,27.9,0.237,1.901,23.72,166.0
≤20%,105875,3131,33.8,0.236,1.945,23.72,166.0
≤30%,112437,3131,35.9,0.234,1.969,23.72,166.0
≤50%,113988,3131,36.4,0.232,1.971,23.72,166.0
no filter,114047,3131,36.4,0.232,1.971,23.72,166.0
