bucket,n,win_rate,avg_multiple,fires_per_day
<-3%,657,0.376,2.657,4.98
-3:-1%,5870,0.248,1.928,44.47
-1:-0.3%,11459,0.225,1.996,86.81
±0.3%,19807,0.221,1.939,150.05
+0.3:+1%,10904,0.251,2.075,82.61
+1:+3%,5385,0.297,2.253,40.8
>+3%,443,0.381,2.115,3.36
