signal,fire_ts,date,hour_utc,rv_rank,dte,delta_target,entry_ask_usd,call_strike,put_strike,peak_bid_usd,peak_multiple,time_to_peak_h,final_bid_usd,final_multiple,n_bars,value_at_4h,multiple_at_4h,value_at_8h,multiple_at_8h,value_at_12h,multiple_at_12h,value_at_18h,multiple_at_18h,value_at_24h,multiple_at_24h
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,3,0.25,1414.85,82000.0,76000.0,1757.17,1.2419,23.17,1337.85,0.9456,288,1063.39,0.7516,1057.49,0.7474,1061.37,0.7502,1228.04,0.868,1337.85,0.9456
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,3,0.3,1650.65,81000.0,76000.0,1817.76,1.1012,23.17,1445.49,0.8757,288,1299.7,0.7874,1214.16,0.7356,1257.92,0.7621,1360.17,0.824,1445.49,0.8757
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,3,0.35,2240.17,80000.0,77000.0,2461.55,1.0988,23.17,1999.08,0.8924,288,1929.85,0.8615,1801.65,0.8042,1808.26,0.8072,1904.23,0.85,1999.08,0.8924
pullback,2026-02-01T00:00:00+00:00,2026-02-01,0,0.9194,3,0.4,2593.88,80000.0,78000.0,3029.6,1.168,23.17,2498.85,0.9634,288,2244.93,0.8655,1997.48,0.7701,2122.74,0.8184,2331.72,0.8989,2498.85,0.9634
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.1,227.78,80000.0,76000.0,195.99,0.8605,0.08,15.73,0.0691,105,102.27,0.449,54.45,0.239,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.15,227.78,80000.0,76000.0,195.99,0.8605,0.08,15.73,0.0691,105,102.27,0.449,54.45,0.239,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.2,337.74,80000.0,77000.0,297.8,0.8817,0.17,15.78,0.0467,106,149.48,0.4426,147.79,0.4376,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.25,337.74,80000.0,77000.0,297.8,0.8817,0.17,15.78,0.0467,106,149.48,0.4426,147.79,0.4376,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.3,816.87,79000.0,78000.0,720.99,0.8826,0.17,47.14,0.0577,139,527.1,0.6453,490.04,0.5999,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.35,816.87,79000.0,78000.0,720.99,0.8826,0.17,47.14,0.0577,139,527.1,0.6453,490.04,0.5999,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,1,0.4,816.87,79000.0,78000.0,720.99,0.8826,0.17,47.14,0.0577,139,527.1,0.6453,490.04,0.5999,,,,,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.1,282.76,82000.0,74000.0,242.31,0.8569,1.83,153.16,0.5417,261,188.81,0.6677,202.24,0.7152,109.9,0.3887,93.92,0.3322,,
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.15,471.27,81000.0,75000.0,2199.87,4.668,24.0,2199.87,4.668,264,354.02,0.7512,318.91,0.6767,235.49,0.4997,172.19,0.3654,2199.87,4.668
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.2,589.09,81000.0,76000.0,3003.81,5.0991,24.0,3003.81,5.0991,264,448.43,0.7612,466.7,0.7922,313.99,0.533,258.28,0.4384,3003.81,5.0991
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.25,1021.09,80000.0,77000.0,3961.23,3.8794,24.0,3961.23,3.8794,288,786.72,0.7705,847.84,0.8303,643.68,0.6304,524.39,0.5136,3961.23,3.8794
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.3,1021.09,80000.0,77000.0,3961.23,3.8794,24.0,3961.23,3.8794,288,786.72,0.7705,847.84,0.8303,643.68,0.6304,524.39,0.5136,3961.23,3.8794
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.35,1021.09,80000.0,77000.0,3961.23,3.8794,24.0,3961.23,3.8794,288,786.72,0.7705,847.84,0.8303,643.68,0.6304,524.39,0.5136,3961.23,3.8794
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,2,0.4,1688.72,79000.0,78000.0,4882.1,2.891,24.0,4882.1,2.891,288,1455.42,0.8619,1439.0,0.8521,1216.72,0.7205,1056.61,0.6257,4882.1,2.891
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,3,0.1,298.47,84000.0,73000.0,1629.8,5.4605,24.0,1629.8,5.4605,288,236.01,0.7907,248.91,0.8339,172.7,0.5786,164.36,0.5507,1629.8,5.4605
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,3,0.15,549.82,82000.0,74000.0,2119.48,3.8549,24.0,2119.48,3.8549,288,448.43,0.8156,412.25,0.7498,345.39,0.6282,305.24,0.5552,2119.48,3.8549
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,3,0.2,864.0,81000.0,75000.0,2645.69,3.0621,24.0,2645.69,3.0621,288,700.18,0.8104,645.6,0.7472,588.73,0.6814,493.08,0.5707,2645.69,3.0621
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,3,0.25,1021.09,81000.0,76000.0,3308.47,3.2401,23.92,3303.46,3.2352,288,826.05,0.809,840.06,0.8227,690.78,0.6765,633.97,0.6209,3303.46,3.2352
pullback,2026-02-02T19:00:00+00:00,2026-02-02,19,0.9472,3,0.3,1570.9,80000.0,77000.0,4165.87,2.6519,24.0,4165.87,2.6519,288,1337.42,0.8514,1322.32,0.8418,1177.47,0.7495,1056.61,0.6726,4165.87,2.6519
