signal,fire_ts,date,hour_utc,rv_rank,dte,delta_target,call_strike,call_actual_delta,call_delta_dist,call_actual_iv,call_ask_usd,call_bid_usd,call_spread_pct,put_strike,put_actual_delta,put_delta_dist,put_actual_iv,put_ask_usd,put_bid_usd,put_spread_pct,straddle_ask_usd,straddle_bid_usd,straddle_spread_pct,straddle_pct_spot,spot_usd,hours_to_expiry,available,skip_reason
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,2,0.35,85000.0,0.3493,0.0007,50.18,628.44,586.54,6.67,83000.0,-0.3722,0.0222,54.85,796.02,754.13,5.26,1424.46,1340.67,5.88,1.7,83791.99,36.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,2,0.4,85000.0,0.3493,0.0507,50.18,628.44,586.54,6.67,83000.0,-0.3722,0.0278,54.85,796.02,754.13,5.26,1424.46,1340.67,5.88,1.7,83791.99,36.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.1,88000.0,0.0838,0.0162,41.38,108.93,92.17,15.38,78000.0,-0.0706,0.0294,61.02,167.58,134.07,20.0,276.51,226.24,18.18,0.33,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.15,87000.0,0.146,0.0041,41.06,209.48,175.96,16.0,80000.0,-0.1428,0.0072,55.15,293.27,268.13,8.57,502.75,444.1,11.67,0.6,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.2,86000.0,0.2412,0.0412,41.35,402.2,360.31,10.42,81000.0,-0.1974,0.0026,51.36,410.58,385.44,6.12,812.78,745.75,8.25,0.97,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.25,86000.0,0.2412,0.0088,41.35,402.2,360.31,10.42,82000.0,-0.2753,0.0253,48.18,628.44,544.65,13.33,1030.64,904.95,12.2,1.23,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.3,85000.0,0.3572,0.0572,41.51,712.23,628.44,11.76,82000.0,-0.2753,0.0247,48.18,628.44,544.65,13.33,1340.67,1173.09,12.5,1.6,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.35,85000.0,0.3572,0.0072,41.51,712.23,628.44,11.76,83000.0,-0.3788,0.0288,45.32,879.82,796.02,9.52,1592.05,1424.46,10.53,1.9,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,3,0.4,85000.0,0.3572,0.0428,41.51,712.23,628.44,11.76,83000.0,-0.3788,0.0212,45.32,879.82,796.02,9.52,1592.05,1424.46,10.53,1.9,83791.99,60.0,True,
pullback,2026-01-29T20:00:00+00:00,2026-01-29,20,0.9667,4,0.1,88000.0,0.1181,0.0181,40.53,192.72,167.58,13.04,78000.0,-0.0983,0.0017,58.9,243.0,209.48,13.79,435.72,377.06,13.46,0.52,83791.99,84.0,True,
