quintile,n,win_rate,avg_multiple,fires_per_day,fires_per_week
"Q1 (0.318, 0.82]",22821,0.231,2.027,172.89,1210.2
"Q2 (0.82, 1.009]",22798,0.229,1.943,172.71,1209.0
"Q3 (1.009, 1.205]",22831,0.235,2.011,172.96,1210.7
"Q4 (1.205, 1.524]",22830,0.211,1.902,172.95,1210.7
"Q5 (1.524, 6.261]",22767,0.255,1.969,172.48,1207.3
