quintile,n,win_rate,avg_multiple,fires_per_day,fires_per_week
"Q1 (5.975, 24.753]",22832,0.207,1.838,172.97,1210.8
"Q2 (24.753, 35.437]",22807,0.181,2.066,172.78,1209.5
"Q3 (35.437, 43.917]",22803,0.221,1.912,172.75,1209.2
"Q4 (43.917, 55.178]",22803,0.248,1.736,172.75,1209.2
"Q5 (55.178, 146.026]",22802,0.305,2.286,172.74,1209.2
