b4h,<-1.5%,-1.5:-.5%,-.5:-.15%,±0.15%,+.15:+.5%,+.5:+1.5%,>+1.5%
<-3%,0.381,0.29,0.929,0.263,0.0,0.413,0.444
-3:-1%,0.142,0.27,0.277,0.144,0.271,0.329,0.0
-1:-0.3%,0.0,0.287,0.233,0.193,0.216,0.292,
±0.3%,0.436,0.149,0.24,0.213,0.205,0.327,0.0
+0.3:+1%,,0.365,0.252,0.192,0.269,0.341,0.814
+1:+3%,,0.662,0.25,0.308,0.254,0.298,0.312
>+3%,,0.0,0.645,0.0,0.8,0.348,0.459
