filter,n_options,n_signal_hours,opts_per_signal,win_rate,avg_multiple,fires_per_day,fires_per_week
DTE 1,21948,3131,7.0,0.281,2.506,23.72,166.0
DTE 2,29656,3131,9.5,0.273,2.139,23.72,166.0
DTE 3,33708,3131,10.8,0.214,1.812,23.72,166.0
DTE 4,23957,2140,11.2,0.177,1.635,16.21,113.5
DTE 5,4778,454,10.5,0.166,1.507,3.44,24.1
