signal,dte,delta_target,tp,time_stop_h,sl,n_fires,mean_exit_multiple,median_exit_multiple,std_exit_multiple,win_rate,hit_tp_pct,hit_sl_pct,hit_ts_pct,hit_expiry_pct,mean_entry_ask_usd,expected_dollar_pnl,median_dollar_pnl
vol_burst,3,0.1,2.5,12,0.5,115,0.905,0.6389,0.7167,0.1739,0.1217,0.3652,0.513,0.0,392.86,-31.31,-128.33
vol_burst,3,0.15,,4,,116,0.9379,0.8092,0.487,0.2414,0.0,0.0,1.0,0.0,594.81,-46.98,-103.5
vol_burst,3,0.2,2.5,4,,116,0.9492,0.8262,0.4371,0.2414,0.0259,0.0,0.9741,0.0,820.42,-49.84,-125.78
vol_burst,3,0.25,2.0,12,0.5,116,0.9321,0.7783,0.4961,0.1983,0.1293,0.1034,0.7672,0.0,1082.69,-68.76,-237.32
vol_burst,3,0.3,2.5,4,,115,0.9492,0.8508,0.3214,0.2609,0.0087,0.0,0.9913,0.0,1353.53,-79.05,-184.03
vol_burst,3,0.35,2.0,4,,115,0.9541,0.8616,0.2814,0.2783,0.0348,0.0,0.9652,0.0,1659.11,-87.39,-197.96
vol_burst,3,0.4,1.5,4,,114,0.9548,0.882,0.206,0.2456,0.0702,0.0,0.9298,0.0,2004.4,-104.4,-226.34
vol_burst,4,0.1,2.5,4,,98,0.9613,0.787,0.4986,0.2347,0.051,0.0,0.949,0.0,448.14,-15.14,-82.32
vol_burst,4,0.15,2.5,4,,100,0.9544,0.824,0.4242,0.24,0.04,0.0,0.96,0.0,664.44,-38.52,-106.75
vol_burst,4,0.2,2.0,4,,100,0.966,0.8424,0.3531,0.26,0.05,0.0,0.95,0.0,895.9,-39.22,-126.19
vol_burst,4,0.25,2.5,4,,100,0.9642,0.8536,0.3429,0.26,0.01,0.0,0.99,0.0,1206.12,-54.3,-159.56
vol_burst,4,0.3,2.0,4,,100,0.9636,0.8626,0.2716,0.28,0.02,0.0,0.98,0.0,1508.48,-66.28,-189.41
vol_burst,4,0.35,2.0,4,,100,0.9689,0.8908,0.2397,0.26,0.01,0.0,0.99,0.0,1849.59,-65.41,-177.22
vol_burst,4,0.4,1.5,4,,100,0.9687,0.9028,0.192,0.27,0.07,0.0,0.93,0.0,2204.46,-83.47,-198.74
